类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,正例,案例编号1175,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,115-客户冻结（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1176,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,115-客户冻结（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1177,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,115-客户冻结（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1178,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,124-账户止付账户限制（只收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1180,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,124-账户止付账户限制（只收不付）（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1182,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,135-超期未对账（只收不付）（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1184,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,136-数字银行止付限制（只收不付）（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1185,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,121-有权机关冻结（只收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1194,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,105-有权机关冻结（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1196,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,103-余额止付（不限制批处理）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1197,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,104-余额止付（不限制批处理）（系统使用）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号1205,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,130-理财系统冻结（余额冻结）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1207,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,111-停止存入交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1208,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,111-停止存入交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1209,新建,财富E站通-保险产品退保,,李秘,保险产品退保,财富E站通,财富E站通-保险产品退保,,111-停止存入交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-保险产品退保，收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1210,新建,保险产品业务,,刘梦月,本人投保（理财经理自己为自己办理业务）,理财外屏,理财经理登录，刷卡刷身份证登录,,理财经理登录，刷卡身份证,"1、用户登录，点击保险业务
2、选择一种保险产品点击投保
",进入失败，本人不能为自己办理业务,,UAT-2,柜员不能给自己办业务,无,,,
测试案例,正例,案例编号1211,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.外屏点击开始使用，放置身份证
2.插入IC卡
3.进入客户信息、视图点击关闭
4.点击存款-点击开户","1.显示客户姓名、身份证号
2.显示银行卡号
3.存款界面—个人整存整取存款（本币）",,UAT-2,无,无,,,
测试案例,正例,案例编号1212,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期1年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1213,新建,存款,,刘梦月,存款产品购买,理财外屏,查看是否本息自动转存,,,"1、用户登录，点击我的-存款
2、查看银行卡内定期是否本息自动转存",转存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号1214,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期2年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1215,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期3年金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1216,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1217,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期1年 金额：50
2.转存方式:本金自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1218,新建,存款,,刘梦月,存款产品购买,理财外屏,查看是否本金自动转存,,,"1、用户登录，点击我的-存款
2、查看银行卡内定期是否本息自动转存",转存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号1219,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期2年 金额：50
2.转存方式:本金自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1220,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期3年 金额：50
2.转存方式:本金自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1221,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本金自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1222,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期1年 金额：50
2.转存方式:不自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,反例,案例编号1223,新建,存款,,刘梦月,存款产品购买,理财外屏,查看是否不自动转存,,,"1、用户登录，点击我的-存款
2、查看银行卡内定期是否本息自动转存",未自动转存,,UAT-2,无,无,,,
测试案例,正例,案例编号1224,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期2年 金额：50
2.转存方式:不自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1225,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期3年 金额：50
2.转存方式:不自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1226,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:不自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1227,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1228,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1229,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1230,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1231,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期-柜面查询,,,成功开立定期后，到柜面查询,卡内定期成功开立,,UAT-2,无,无,,,
测试案例,正例,案例编号1232,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-卡内定期-STM机查询,,,成功开立定期后，到STM机查询,卡内定期成功开立,,UAT-2,无,无,,,
测试案例,反例,案例编号1233,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期1年 金额：50
2.转存方式:不选择，确认
","1.自动回显到期日、币种、利率
2.不输入转存方式，交易无法提交",,UAT-2,无,无,,,
测试案例,反例,案例编号1234,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期2年 金额：50
2.转存方式:不选择，确认
","1.自动回显到期日、币种、利率
2.不输入转存方式，交易无法提交",,UAT-2,无,无,,,
测试案例,反例,案例编号1235,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期3年 金额：50
2.转存方式:不选择，确认
","1.自动回显到期日、币种、利率
2.不输入转存方式，交易无法提交",,UAT-2,无,无,,,
测试案例,反例,案例编号1236,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期5年 金额：50
2.转存方式:不选择，确认
","1.自动回显到期日、币种、利率
2.不输入转存方式，交易无法提交",,UAT-2,无,无,,,
测试案例,反例,案例编号1237,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期1年 金额：1
2.转存方式:本息自动转存，确认，输入密码
","1.自动回显到期日、币种、利率
2.小于起存金额，交易失败",,UAT-2,无,无,,,
测试案例,反例,案例编号1238,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期2年 金额：1
2.转存方式:本息自动转存，确认，输入密码
","1.自动回显到期日、币种、利率
2.小于起存金额，交易失败",,UAT-2,无,无,,,
测试案例,反例,案例编号1239,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期3年 金额：1
2.转存方式:本息自动转存，确认，输入密码
","1.自动回显到期日、币种、利率
2.小于起存金额，交易失败",,UAT-2,无,无,,,
测试案例,反例,案例编号1240,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期5年 金额：1
2.转存方式:本息自动转存，确认，输入密码
","1.自动回显到期日、币种、利率
2.小于起存金额，交易失败",,UAT-2,无,无,,,
测试案例,反例,案例编号1241,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-查询是否本息自动转存,,,定期过期后在柜面系统查询是否本息自动转存,本息自动转存,,UAT-2,无,无,,,
测试案例,反例,案例编号1242,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-查询是否本金自动转存,,,定期过期后在柜面系统查询是否本金自动转存,本金自动转存,,UAT-2,无,无,,,
测试案例,反例,案例编号1243,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-查询是否不自动转存,,,定期过期后在柜面系统查询是否不自动转存,不自动转存,,UAT-2,无,无,,,
测试案例,反例,案例编号1244,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面,,,"1.外屏点击开始使用，放置身份证
2.插入被限制的IC卡
3.进入客户信息、视图点击关闭
4.点击存款-点击开户","1.显示客户姓名、身份证号
2.显示银行卡号
3.受限制银行卡无法进入存款界面",,UAT-2,无,无,,,
测试案例,正例,案例编号1245,新建,存款,,刘梦月,账户查询,理财外屏,存款-用户登录-存款界面-柜面查询,,,成功开立存单后，到柜面查询,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号1246,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期1年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1248,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期2年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1249,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期3年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1250,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期5年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1251,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期1年 金额：500000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过50万需要支行管理员授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1252,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期2年 金额：500000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过50万需要支行管理员授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1253,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期3年 金额：500000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过50万需要支行管理员授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1254,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面,,,"1.存期：输入存期5年 金额：500000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过50万需要支行管理员授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1255,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.外屏点击开始使用，放置身份证
2.刷存折
3.进入客户信息、视图点击关闭
4.点击存款-点击开户","1.显示客户姓名、身份证号
2.显示银行卡号
3.存款界面—个人整存整取存款（本币）",,UAT-2,无,无,,,
测试案例,正例,案例编号1256,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期1年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1257,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期2年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1258,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期3年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1259,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期5年 金额：50
2.转存方式:本息自动转存，确认，输入密码
3.点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1260,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期1年 金额：500000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过50万需要支行管理员授权，点击打印凭证","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,反例,案例编号1261,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期1年 金额：50
2.转存方式:本息自动转存，确认，输入错误密码
3.点击确认","1.自动回显到期日、币种、利率
2.提示密码错误，请重新输入
",,UAT-2,无,无,,,
测试案例,正例,案例编号1262,新建,存款,,刘梦月,存款产品购买,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期1年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1263,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期2年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1264,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期3年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,正例,案例编号1265,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期5年 金额：60000
2.转存方式:本息自动转存，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.存单开立成功，界面显示存单信息
3.授权成功，打印成功",,UAT-2,授权,无,,,
测试案例,反例,案例编号1266,新建,存款,,刘梦月,存款授权,理财外屏,存款-用户登录-存款界面-存折内开定期,,,"1.存期：输入存期1年 金额：60000
2.转存方式:不输入，确认，输入密码
3.金额超过5万需要理财经理授权","1.自动回显到期日、币种、利率
2.不输入转存方式，交易无法提交",,UAT-2,授权,无,,,
测试案例,正例,案例编号1267,新建,存款,,刘梦月,存款授权,理财外屏,用户登录外屏选择定期,,,"1、用户登录外屏读取身份证、刷卡
2、点击存款，购买存款大于5万时","内屏弹出授权提示
",,UAT-2,授权,无,,,
测试案例,正例,案例编号1268,新建,存款,,刘梦月,存款授权,理财外屏,大于5万授权,,,理财经理在此页面选择授权主管后，点击确定按钮,主管授权，输入密码后交易成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号1269,新建,存款,,刘梦月,存款产品购买,理财外屏,授权人是购买存款本人,,,理财经理在此页面选择购买人本人授权,页面显示错误，本人不能授权,,UAT-2,柜员不能给自己办业务,无,,,
测试案例,反例,案例编号1270,新建,存款,,刘梦月,存款产品购买,理财外屏,定期存款开立-本人办理业务,,理财经理登录，刷卡身份证,理财经理登录，刷卡，卡内开立定期，输入密码,页面显示错误，本人不能为自己办理业务,,UAT-2,柜员不能给自己办业务,无,,,
测试案例,正例,案例编号1271,新建,存款,,刘梦月,存款产品购买,理财外屏,存折内开定期-柜面查询,,,存款-用户登录-存款界面-卡内定期-柜面查询,存折内定期成功开立,,UAT-2,无,无,,,
测试案例,正例,案例编号1272,新建,存款,,刘梦月,存款产品购买,理财外屏,存折内开定期-柜面取款,,,"1、刷卡柜面查询
2、柜面取款提交输入密码","1、显示存款明细
2、显示取款成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1273,新建,存款,,刘梦月,存款产品购买,理财外屏,卡内开定期-STM机查询,,,存款-用户登录-存款界面-卡内定期-STM机查询,存折内定期成功开立,,UAT-2,无,无,,,
测试案例,正例,案例编号1274,新建,存款,,刘梦月,存款产品购买,理财外屏,卡内开定期-STM机取出,,,"1、刷卡STM查询
2、STM取款提交输入密码","1、显示存款明细
2、显示取款成功",,UAT-2,无,无,,,
测试案例,正例,案例编号1275,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期,,,"1、用户登录
2、点击存款
3、输入存款信息，金额10000，确定提交",卡内定期开立成功,,UAT-2,限额测试,无,,,
测试案例,反例,案例编号1276,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期,,,"1、用户登录
2、点击存款
3、输入存款信息，金额11000，确定提交",超过限额，存入失败,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号1277,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期,,,"1、用户登录
2、点击存款
3、输入存款信息，金额9999，确定提交",卡内定期开立成功,,UAT-2,限额测试,无,,,
测试案例,反例,案例编号1278,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期（单日累计）,,,"1、用户登录
2、点击存款
3、输入存款信息，金额9000，确定提交
4、再次开立卡内定期金额输入50000",超过限额，存入失败,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号1279,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期（单日累计）,,,"1、用户登录
2、点击存款
3、输入存款信息，金额9000，确定提交
4、再次开立卡内定期金额输入1000",卡内定期开立成功,,UAT-2,限额测试,无,,,
测试案例,反例,案例编号1280,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期（单日累计）次日恢复,,,"1、用户登录
2、点击存款
3、输入存款信息，金额11000，确定提交",超过限额，存入失败,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号1281,新建,存款,,刘梦月,存款产品购买,理财外屏,二类账户卡内定期（单日累计）次日恢复,,,"1、用户登录
2、点击存款
3、输入存款信息，金额9000，确定提交",卡内定期开立成功,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号1282,新建,存款,,刘梦月,存款产品购买,理财外屏,二类卡内开定期-STM机查询,,,存款-用户登录-存款界面-卡内定期-STM机查询,存折内定期成功开立,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号1283,新建,存款,,刘梦月,存款产品购买,理财外屏,二类卡卡内开定期取出,,,"1、用户登录
2、点击我的-我的存款
3、点击支取，输入错误密码","1、显示存款明细
2、密码错误",,UAT-2,限额测试,无,,,
测试案例,反例,案例编号1297,新建,财富E站通-定期存款开立,,李秘,存款产品购买,理财外屏,财富E站通-定期存款开立,,101-停止帐户所有交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-定期存款开立，付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1298,新建,财富E站通-定期存款开立,,李秘,存款产品购买,理财外屏,财富E站通-定期存款开立,,101-停止帐户所有交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-定期存款开立，付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1299,新建,财富E站通-定期存款开立,,李秘,存款产品购买,理财外屏,财富E站通-定期存款开立,,101-停止帐户所有交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-定期存款开立，付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1301,新建,财富E站通-定期存款开立,,李秘,存款产品购买,理财外屏,财富E站通-定期存款开立,,123-对公证件到期限制（不收不付）（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-定期存款开立，付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号1302,新建,财富E站通-定期存款开立,,李秘,存款产品购买,理财外屏,财富E站通-定期存款开立,,142-有权机关黑名单冻结（不收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-定期存款开立，付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
